price;price_per_meter;area;rooms;floor;market_type;furnished;building_type;description;district;date;url
580 000 zł;Cena za m²: 19035.12 zł/m²;30,47;2;6;Wtórny;;Blok;"OPIS
Do sprzedania mieszkanie które świetnie sprawdzi się jako inwestycja, jak i miejsce do zamieszkania. Bardzo funkcjonalny układ pomógł w realizacji 2 pokoi, łazienki, oddzielnej kuchni na zaledwie 31m2. Mieszkanie jest od lat wynajęte przez te same osoby, ale możemy je sprzedać bez najemców. Mieszkanie posiada założoną księgę wieczystą, można kredytować zakup.

Mieszkanie znajduje się na Woli, przy ulicy Okocimskiej. W bezpośrednim sąsiedztwie metra księcia Janusza.

Powierzchnia 30,47m2
piętro 6 w budynku z 1975 roku z windą
Ekspozycja zachodnia - wnętrza są jasne nasłonecznione
Mieszkanie po generalnym remoncie około 3 lata temu. Wymienione instalacje, nałożone nowe tynki, Okna dźwiękoszczelne.

Na pytania odpowiem telefonicznie 888 - 081 - 815";Wola;2025-03-22;https://www.olx.pl/d/oferta/mieszkanie-dwa-pokoje-przy-metrze-ksiecia-janusza-CID3-ID14Hlsv.html
1 098 000 zł do negocjacji;Cena za m²: 15464.79 zł/m²;71;3;8;Wtórny;;Blok;"OPIS
* Przestronne i słoneczne mieszkanie z widokiem na panoramę Bielan *
Chcesz mieszkać z pięknym widokiem z okna? Świetnie położonym i skomunikowanym?
To mieszkanie Cię zachwyci!

• Przestronne trzy pokoje z dużymi oknami
• Mieszkanie pięknie doświetlone (ekspozycja płd. I płd.-zach)
• Świetnia komunikacja - w centrum jesteś w 15 minut
• Stacja Metra 5 min spacerkiem
• Piękny widok na panoramę Bielan i Warszawy
• Cicha i spokojna okolica - idealna do relaksu
• Żłobek, przedszkole, szkoła podstawowa, liceum - wszystko jest na miejscu
• Wszystko czego potrzebujesz jest na miejscu, ale jeśli chcesz to w centrum jesteś w 15 minut
• Obok park, ładny staw, siłownia pod chmurką i tereny zielone - idealne dla osób aktywnych i ceniących przyrodę
• Mieszkanie, które spełni Twoje marzenia o idealnym domu

• Możesz OSZCZĘDZIĆ od 34'500 zł do 57'000 zł* na prowizji pośrednika bo sprzedaję bezpośrednio!

Przestronne, ustawne i słoneczne mieszkanie w warszawskiej dzielnicy Bielany przy ul. Dantego.

Komfortowe mieszkanie o powierzchni 70.90 m² o południowo-zachodniej ekspozycji, składające się z 3 pokoi, w tym pokoju dziennego 23.80 m², dwóch pokoi po 11.10 m², oddzielnej kuchni 6.60 m², łazienki (2.60 m²), WC (1.50 m²) i przedpokoju o powierzchni 10,80 m² i oddzielna garderoba 3,9 m².

Pokój dzienny z dużym balkonem o południowej ekspozycji z szerokim widokiem na panoramę Bielan świetnie nadaje się na chwilę odpoczynku przy popołudniowej kawie
Dodatkowo komórka lokatorska o powierzchni 2.03 m².

Osoby ceniące komfort i przestrzeń świetnie się tu odnajdą: duże (ale nie ogromne) pokoje, funkcjonalny układ i dodatkowe pomieszczenia, takie jak garderoba (czy spiżarnia), zapewniają wygodę.

Mieszkanie położone w świetnej lokalizacji:
- stacja Metra (420 metrów)
- liczne połączenia autobusowe (400 m)
- bazarek Wolumen ze dostawami świeżych warzyw, owoców od lokalnych dostawców (400 m)
- liczne sklepy w okolicy: Biedronka (140 m), Lidl (750m), Carrefour (900 m)
- apteka (140 m)
- kompleks sportowy, w tym basen, CSR Bielany (700 m)
- szkoła podstawowa (300 m),
- przedszkole (300 m)
- liceum ogólnokształcące (500 m)
- bliskość Parku Bielańskiego (900 m)
- Akademia Wychowania Fizycznego (2 km)
- Szpital Bielański (1,4 km)
- przychodnie zdrowia państwowe i prywatne
- Galeria Handlowa Północna

Świetna komunikacja i pełna infrastruktura w okolicy. Idealne dla rodziny z dziećmi, dzięki bliskości przedszkoli, szkół i placów zabaw.

Mieszkanie jest słoneczne i przytulne, z pięknym widokiem z 8. piętra, stwarzając idealne warunki do życia.

Zapewnij sobie bezpieczeństwo i komfort na miejscu i świetną komunikację z Centrum miasta.

Oferta mieszkania jest dostępna na wielu portalach bez pośredników i ekstra prowizji.

* Sprzedaż bez pośrednika. Możesz oszczędzić od ok. 34'000 zł do 57'400 zł - tyle wynosi wartość typowej prowizji 3-5%, którą zapłacisz pośrednikowi dla nieruchomości o tej wartości. Czy warto? No raczej warto!

Nie zwlekaj, to okazja, której nie możesz przegapić!
Zadzwoń już teraz i umów się na obejrzenie! :)";Bielany;2025-03-21;https://www.olx.pl/d/oferta/sloneczne-mieszkanie-m3-z-widokiem-kolo-metra-warszawa-bielany-CID3-ID14AhkW.html
1 250 000 zł do negocjacji;Cena za m²: 25000 zł/m²;50;2;Parter;Wtórny;;Kamienica;"OPIS
Sprzedam bezpośrednio umeblowane mieszkanie w kamienicy na Mariensztacie 50 m2.

Pełna własność. Mieszkanie ciche, ciepłe i suche w pięknej okolicy.

Do zamieszkania od zaraz.

""Małe mieszkanko na Mariensztacie
To moje szczęście, to moje sny
Małe mieszkanko na Mariensztacie
A w tym mieszkanku, przypuśćmy, my…""

Mariensztat, Powiśle, Stare Miasto to serce warszawy. Tu wszędzie jest blisko.

To tutaj jesteś w centrum wydarzeń, a kiedy zapragniesz ciszy i zieleni wystarczy wejść do parku przy Mariensztacie lub do ogrodu Zamkowego. A może spacer Bulwarami do pomnika Syrenki, chociaż dzisiaj

""Pójdę na Stare Miasto,
Nie byłam tam od wczoraj,
Ne mogłabym w nocy zasnąć,
Gdybym nie poszła dziś.
Widzę domy w kolorach
Jak się wznoszą ku gwiazdom,
A latarnie wieczorem każą
Marzyć i śnić.""

Tego wszystkiego możesz doświadczyć już wkrótce ... to będzie Twoja przygoda na Mariensztacie.";Śródmieście;2025-03-21;https://www.olx.pl/d/oferta/mieszkanie-na-mariensztacie-CID3-ID14Jgnw.html
915 000 zł do negocjacji;Cena za m²: 19891.3 zł/m²;46;2;Parter;Pierwotny;;Blok;"OPIS
Na sprzedaz posiadam NOWE mieszkanie w stanie deweloperskim na nowoczesnym osiedlu Mokotow Wislany w Warszawie.

Osiedle jest kameralne, bardzo ładnie zagospodarowane: dużo zieleni, uroczych alejek z ławkami i urocze altanki, w których można się schronić przed słońcem. Niskie trzy - czteropiętrowe bloki oraz duże odległości między budynkami tworzą atrakcyjną przestrzeń do wypoczynku. Na osiedlu znajdują się kameralne place zabaw.

Mieszkanie jest 2 pokojowe z odzielna kuchnia. Istnieje mozliwosc urzadzenia jako 3pokojowe.

Miejsce postojowe podziemne wliczone w cenie zakupu.

Metraz mieszkania to 46m2 + ogrod: 77m2.

Mieszkanie godne polecenia.

Osoba prywatna, bez prowizji.";Mokotów;;https://www.olx.pl/d/oferta/nowe-2-3-pok-mokotow-wislany-duzy-ogrod-miejsce-postojowe-okazja-CID3-ID14Xkqf.html
1 159 500 zł;Cena za m²: 17951.7 zł/m²;64,59;3;1;Wtórny;;Blok;"OPIS
BUDYNEK
Budynek przy ul. A. Mickiewicza 64 znajduje się na pięknym osiedlu Marymont Potok. Budynek został kilka lat temu całkowicie odnowiony. Budynek ma 12 pięter. Jest starannie zaprojektowany z myślą o wygodzie i potrzebach mieszkańców. Ma trzy klatki, a w każdej z nich znajduje się przestronna i nowoczesna winda. Dodatkową przestrzeń do wypoczynku zapewnią prywatne balkony, oraz zieleń otaczająca osiedle. Do dyspozycji mieszkańców przewidziane są miejsca postojowe na zamkniętym parkingu przed budynkiem.

MIESZKANIE NR 59 | 1 piętro | 64,59 m2
Składa się z widnego salonu od strony zachodniej z balkonem zabudowanym szkłem, dwóch dodatkowych pokoi od strony wschodniej, widnej kuchni, łazienki, ubikacji i przedpokoju. Mieszkanie zostało niedawno odnowione (wszystkie pomieszczenia zostały na nowo pomalowane). Podłogi w pokojach i przedpokoju wykonane są z klepki dębowej.
Do mieszkania przynależy piwnica, znajdująca się w suterenie budynku.
Mieszkanie nie jest umeblowane, przeznaczone do własnej aranżacji.

– salon (18,36 m2)
– pierwszy pokój (11,28 m2)
– drugi pokój (10,70 m2)
– kuchnia (8,59 m2)
– łazienka (3,32 m2)
– ubikacja (1,47 m2)
– przedpokój (10,87 m2)
– dodatkowo balkon (3,72 m2)
– piwnica

STANDARD WYKOŃCZENIA:
– mieszkanie w stanie odnowionym
– wszystkie media miejskie, w tym łącze światłowodowe na klatce
– trzy szybowe okna
– domofon

LOKALIZACJA:
Inwestycja zlokalizowana na warszawskim Osiedlu Marymont Potok. Dojazd do centrum Warszawy zajmuje około 15 - 20 minut samochodem, a w pobliżu dostępne są wszystkie niezbędne udogodnienia. Stacje metra Marymont i Plac Wilsona znajdują się w odległości ok. 850 m. Przystanek autobusowy i tramwajowy znajduje się 100 metrów od budynku. Na osiedlu jest duży sklep spożywczy Top Market, a w pobliżu osiedla liczne sklepy, centrum Hala Marymoncka, szkoły, przychodnie zdrowia, siłownia i wiele więcej. W pobliżu mieści się także szkoła podstawowa, do której można dotrzeć piechotą w kilka minut. Niedaleko, znajdują się liczne tereny zielone, w tym Park Kępa Potocka, Lasek Bielański, Park Harcerskiej Poczty Polowej Powstania Warszawskiego. Osiedle Marymont Potok łączy w sobie spokój zielonej okolicy z dostępem do wszystkich niezbędnych udogodnień, tworząc idealne warunki do życia zarówno dla rodzin, jak i osób ceniących komfort oraz bliskość natury.";Żoliborz;;https://www.olx.pl/d/oferta/piekne-mieszkanie-3-pokojowe-warszawa-zoliborz-marymont-potok-CID3-ID153zBH.html
1 520 000 zł do negocjacji;Cena za m²: 19000 zł/m²;80;4;4;Wtórny;;Blok;"OPIS
Przestronny 4-pokojowy apartament (80 m2) z 2 balkonami, 2 łazienkami, garderobą, 2 miejscami postojowymi i komórką lokatorską | Włochy/Ochota | ul. Równoległa 7.

Do apartamentu przynależą dwa szerokie, rodzinne miejsca postojowe w garażu podziemnym oraz murowana komórka lokatorska (4,5m2) na I piętrze (płatne dodatkowo).

Oferta bezpośrednia – pośrednikom zdecydowanie dziękuję!

Na sprzedaż 4-pokojowy apartament o funkcjonalnym układzie, położony na 4. piętrze budynku przy ul. Równoległej 7, na granicy dzielnic Włochy i Ochota. Apartament zamieszkany od połowy 2020 roku. Elastyczny termin wprowadzenia. Deska trójwarstwowa na podłodze.

Rozkład pomieszczeń

Salon z aneksem kuchennym
Przestronna, dobrze doświetlona część dzienna, połączona z aneksem kuchennym i jadalnią. Zabudowa kuchenna wykonana na wymiar, wyposażona w sprzęt AGD: piekarnik, płytę indukcyjną, lodówko-zamrażarkę oraz zmywarkę Electrolux.

Sypialnie

Sypialnia główna –Sypialnia połączona jest z garderobą.
Pokój dziecięcy
Gabinet – duże biurko zapewniające komfort pracy zdalnej, może zostać łatwo przekształcony w drugi pokój dziecięcy.
Łazienki

Łazienka nr 1 – wyposażona w wannę, umywalkę, WC oraz szafę z przesuwanymi drzwiami, w której znajduje się m.in. pralko-suszarka, oraz miejsce do przechowywania.
Łazienka nr 2 – z prysznicem, umywalką i WC.
Balkony

Balkon o powierzchni 8 m² – zadaszony, zagospodarowany roślinnością.
Balkon o powierzchni 4 m² – również zadaszony, idealny do odpoczynku.
Dodatkowe informacje

Dwa rodzinne miejsca postojowe w garażu podziemnym (płatne dodatkowo) – 60 000 PLN.
Murowana komórka lokatorska na I piętrze (płatna dodatkowo) – wygodne miejsce do przechowywania rowerów, sprzętu sportowego czy rzeczy sezonowych. – 20 000 PLN.
Czynsz – ok. 850 PLN/miesięcznie

Lokalizacja i komunikacja

Apartament położony jest w dobrze skomunikowanej części Warszawy, w pobliżu stacji:

- PKP Aleje Jerozolimskie (ok. 8 minut pieszo), skąd pociągi PKP kursują regularnie do centrum, na lotnisko, Mokotów i innych dzielnic.

-WKD Aleje Jerozolimskie – połączenie z Centrum Warszawy i w kierunku Grodziska Mazowieckiego

Liczne linie autobusowe:

Z przystanku PKP WKD Aleje Jerozolimskie odjeżdżają następujące linie autobusowe:

Autobusowe Linie dzienne:

127 – kursuje na trasie Ursus-Ratusz – Browarna.
178 – łączy Skorosze z Konwiktorską.
187 – obsługuje trasę Chełmska – Ursus-Niedźwiadek.
191 – kursuje między Regulską a Szpitalem Banacha.
208 – łączy Szczęśliwice z PKP WKD Aleje Jerozolimskie.
228 – trasa obejmuje Sasanki – Ursus-Ratusz.
517 – kursuje na trasie Ursus-Niedźwiadek – Plac Trzech Krzyży.
717 – łączy Piastów Ogińskiego z Dworcem Zachodnim.
817 – obsługuje trasę Dworzec Zachodni – Pruszków Os. Staszica /pętla.
Autobusowe Linie nocne:

N01 – kursuje na trasie Nowodwory – Ursynów Północny.
N35 – łączy Ursus-Niedźwiadek z Centrum.
N85 – obsługuje trasę Centrum – Pruszków Os. Staszica /pętla.

W okolicy znajdują się liczne punkty usługowe, sklepy, apteki, przychodnie oraz centra handlowe Blue City i Reduta.

W zasięgu krótkiego spaceru dostępne są także tereny rekreacyjne, takie jak Park Szczęśliwicki i Stawy Cietrzewia.

Planowane inwestycje w okolicy

Nowy przystanek kolejowy ""Warszawa Instalatorów"" – 200 m
Nowy przystanek WKD ""Warszawa Wschodu Słońca"" – 150 m
Nowa szkoła podstawowa we Włochach – ul. Instalatorów – 50 m
Zapraszam do kontaktu.

Ogłoszenie nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego.";Włochy;2025-03-21;https://www.olx.pl/d/oferta/sprzedam-bezposrednio-4-pok-2-laz-2-balk-2-m-postojowe-CID3-ID14X1iM.html
680 000 zł do negocjacji;Cena za m²: 14166.67 zł/m²;48;2;Parter;Wtórny;;Apartamentowiec;"OPIS
Witam.
Na sprzedaż przytulne dwupokojowe mieszkanie, znajdujące się przy ul. Mirabelki w Warszawie (Białołęka - Brzeziny) na osiedlu zamkniętym i monitorowanym.

Mieszkanie ma powierzchnię całkowitą 48 m, w tym:
- korytarz 3,17m
- salon z aneksem kuchennym 27,86m
- sypialnia 11,81m
- łazienka 5,07m
- balkon 10,52 m
+ plus przynależny ogródek około 40m.

Opis mieszkania:
- lokal gotowy do zamieszkania,
- materiały użyte do wykończenia wysokiej jakości,
- większość mebli (korytarz, łazienka, kuchnia, sypialnia) robiona na wymiar przez doświadczonego stolarza,
- wszystkie sprzęty AGD (piekarnik, mikrofala, lodówka, zmywarka, pralka) w bardzo dobrym stanie w zabudowie meblowej,
- w oknach rolety dzień noc oraz moskitiery antyalergiczne drzwiowe zewnętrzne, w kolorze ram okiennych,
- dodatkowe ogrzewanie podłogowe w łazience,
- podwyższony parter, duży balkon plus prywatny ogródek, do którego schodzimy schodkami z balkonu,
- czynsz około 680 zł,
- miejsce postojowe w garażu- dodatkowo płatne 45 tyś,
- mieszkanie własnościowe, bez żadnych obciążeń księgi wieczystej,
- blok z 2017 r, mieszkanie zamieszkane od 2018 r,
- zamknięte i monitorowane osiedle.

Lokalizacjia:
- przystanek autobusowy- 60m,
- komunikacja do metra 10 minut,
- żłobek, przedszkole, szkoła i liceum w zasięgu 800m,
- przychodnia 500m,
- supermarkety i sklepy osiedlowe w bliskiej okolicy .

Atuty mieszkania:
- jasne i bardzo ciepłe ( południowa strona),
- plac zabaw dla dzieci na osiedlu,
- nowoczesne wykończenie,
- duży salon z aneksem kuchennym,
- niskie koszty ogrzewania dzięki południowej ekspozycji.

Zapraszam do kontaktu, więcej informacji udzielę telefonicznie.
Agencjom dziękuję, proszę nie dzwonić!!!";Białołęka;2025-03-22;https://www.olx.pl/d/oferta/nowoczesne-mieszkanie-48-m-z-ogrodkiem-i-duzym-balkonem-CID3-ID13Ttc3.html
1 580 000 zł;Cena za m²: 24842.77 zł/m²;63,60;3;3;Wtórny;;Apartamentowiec;"OPIS
Nowy spacer po okolicy i mieszkaniu:
youtu.be/_Ftoi8JzBhw

Atrakcyjne wykończone mieszkanie o powierzchni użytkowej 63,6 m², zlokalizowane na trzecim piętrze w nowoczesnym budynku z 2015 roku. Mieszkanie zostało zaprojektowane przez renomowaną firmę Pelikam, co gwarantuje wysoki standard i funkcjonalność.

Cechy mieszkania:
• Komórka lokatorska na tym samym piętrze 2,9 m²
• Loggia: 6,4 m² z widokiem na ul. Przasnyską
• Położenie: Trzecie piętro, lokal nr 27
• Mieszkanie z klimatyzacją
• Rok budowy: 2015

Lokalizacja:
• Przystanek autobusowy pod domem, stacja PKP Powązki w odległości 100 metrów
• Miejsca parkingowe: Dostępne przy ul. Przasnyskiej oraz wokół osiedla
• Cisza i spokój: Mieszkanie jest ciche, zlokalizowane od strony ul. Przasnyskiej
• Dobre sąsiedztwo: Bardzo ważne dla komfortu mieszkania

Atrakcje w okolicy:
• Galeria Handlowa Arkadia: W bliskiej odległości
• Metro: Plac Wilsona i Dworzec Gdański w odległości 1,9 km
• Nowe przedszkole i szkoła: W pobliżu
• Sklepy i restauracje: W odległości do 50 metrów znajdują się sklepy spożywcze, Rossmann, piekarnie Lubaszka, Putka, Grzybki, restauracje włoska, sushi, Sypka Mąka i inne
• Wojskowy Instytut Medycyny Lotniczej: W bliskiej odległości 800 metrów
Dokumenty:
• Księga Wieczysta: bez obciążenia kredytem
• Czynsz miesięczny 1200 zł

To idealne miejsce dla osób ceniących sobie wygodę, dostęp do komunikacji miejskiej i bliskość atrakcji handlowych oraz kulturalnych. Zapraszamy do kontaktu!

Sprzedaż bez pośredników, bezpośrednio od właściciela.";Żoliborz;2025-03-08;https://www.olx.pl/d/oferta/bezposredn-sprzedam-rydygiera-19-27-projekt-pracowni-pelikam-CID3-ID14Owhk.html
1 650 000 zł;Cena za m²: 11128.35 zł/m²;148,27;4;Parter;Pierwotny;;Apartamentowiec;"OPIS
Mieszkanie w nowej inwestycji RUCZAJ PARK - Warszawa, Wilanów

Mieszkanie o łącznej powierzchni 125,27m2 + ogródek 250m2

Lokal znajduje się na parterze kameralnego budynku położonego na widokowej działce otoczonej zielenią.

W inwestycji przewidziano:
- miejsca postojowe naziemne,
- miejsca postojowe podziemne.

Udogodnienia:
-własny akwen wodny,
-ochrona całodobowa,
- plac zabaw, monitoring,
- teren ogrodzony,
- internet,
- korty tenisowe,
- tv kablowa,
- własna kotłownia,
- siłownia plenerowa.

Przyroda: w okolicy inwestycji znajduje się park, jezioro.

Komunikacja:
Główna arteria – Wisłostrada, ulice o dużym znaczeniu lokalnym: ul. Jana III Sobieskiego i Al. Wilanowska oraz liczne połączenia autobusowe, umożliwiają dogodny dojazd z Wilanowa do centrum, a także do Konstancina i Piaseczna. W odległości 700 metrów od inwestycji Ruczaj Park znajduje się najbliższy punkt komunikacyjny: RUCZAJ 01.

Edukacja:
W najbliższej okolicy inwestycji Ruczaj Park znajdują się 3 placówki edukacyjne. Najbliżej położone to: Szkoła Podstawowa Nr 169 w odległości 1 250 m, Gimnazjum nr 116 im. Husarii Rzeczypospolitej w odległości 1 250 m, Przedszkole nr 416 w odległości 1 950 m.

Sport:
W najbliższej okolicy inwestycji znajduje się: Boisko Piłkarskie w odległości 1 350 m.

Oferta bezpośrednia

Zadzwoń!
Dział sprzedaży:
+48**********35
www.ruczaj-park.pl

Inwestycja zrealizowana i oddana do użytkowania";Wilanów;;https://www.olx.pl/d/oferta/apartament-125-27m2-ogrodek-250m2-warszawa-wilanow-CID3-IDAoeZf.html
668 000 zł do negocjacji;Cena za m²: 18870.06 zł/m²;35,40;2;7;Wtórny;;Apartamentowiec;"OPIS
Oferuję apartament na sprzedaż, mieści się on w dzielnicy Stare Włochy, przy ul. Wiktoryn 6. Metraż to 35,4 m2, idealna przestrzeń funkcjonalna dla 2 osób. Mieszkanie jest nowocześnie i dobrze jakościowo wyposażone, wraz ze wszystkimi sprzętami AGD: pralka zmywarka w zabudowie, telewizor, lodówka, piekarnik i płyta indukcyjna, które po sprzedaży pozostają do Państwa dyspozycji. Mieszkanie jest dobrze oświetlone, posiada oszklony duży balkon i okna przez które mieszkanie jest bardzo nasłonecznione. Znajduje się ono na 7 i ostatnim piętrze w bloku z dwoma windami, siłownią i sauną, pralnią do dyspozycji mieszkańców już z cenie czynszu 700 zł. Usytuowane jest w aglomeracyjnej okolicy Warszawy przy jednej z głównych ulic al. Jerozolimskie. Mimo położenia jest w nim bardzo cicho. W okolicy znajduje się dużo sklepów tj. Makro, leclerc, CH Blue city, CityFit (2,5 km, 5 min autem). Odległość od ścisłego centrum to 6 km (15 min autem,20 autobusem bądź pociągiem w godzinach szczytu).Pod blokiem znajdują się przystanki autobusowe oraz w pobliżu jest stacja SKM, co gwarantuje świetną komunikację. Mieszkanie posiada szerokie miejsce parkingowe w garażu podziemnym, dodatkowo płatne 55 tys. zł. Osiedle jest strzeżone przez ochronę na którym znajduje się dodatkowy parking tylko dla mieszkańców. Sprzedam bez pośrednio, agencjom dziękuję.";Włochy;2025-02-21;https://www.olx.pl/d/oferta/sprzedam-apartament-mieszkanie-35-4m2-2-pokoje-wlochy-warszawa-CID3-ID14zOs4.html
1 700 000 zł;Cena za m²: 22818.79 zł/m²;74,50;3;5;Wtórny;;Apartamentowiec;"OPIS
Sprzedam bezpośrednio apartament na Osiedlu Saska na Gocławiu.
Mieszkanie ma 74 mi jest położone na ostatnim piątym piętrze.Bardzo ciche

Składa się z 3 pokoi;
1 pokój nieumeblowany z wyjściem na mały balkon i z widokiem na ul.Jana Nowaka Jezioranskiego

2 pokój sypialnia z wyjściem na duży balkon i widokiem na pięknie zagospodarowany ogród oraz jeziorko

3 pokój salon połączony z kuchnią i wyjsciem na balkon od strony jeziorka

Łazienka z prysznicem typu Walk in

Osobny WC połączony przesuwanymi drzwiami z pomieszczeniem gospodarczym

Garderoba

Duże okna zapewniają mnóstwo naturalnego światła przez cały dzień, a nowoczesne wykończenie wnętrz sprawia, że mieszkanie jest estetyczne i przytulne jednocześnie.

Mieszkanie znajduje się w nowoczesnym budynku z całodobową recepcją, ochroną i monitoringiem, co zapewnia bezpieczeństwo i komfort codziennego życia. Dodatkowo, mieszkańcy mają do dyspozycji wózkownię i stojaki na rowery

Mieszkanie bez obciążeń hipotetycznych

Cena 1.700000;-
Dostępne są dwa miejsca parkingowe tzw rodzinne w garażu podziemnym w cenie 80.000 ,-

Nie współpracuję z agencjami i pośrednikami";Praga-Południe;2025-03-21;https://www.olx.pl/d/oferta/bezposrednio-elegancki-apartament-goclaw-74-m-CID3-ID12HAMI.html
797 000 zł do negocjacji;Cena za m²: 20035.19 zł/m²;39,78;1;1;Pierwotny;;Blok;"OPIS
Na sprzedaż mieszkanie 39,78 m² + balkon 8,53 m²
Lokalizacja: ulica Okrzei
Inwestycja: Na Okrzei
Powierzchnia: 39,78 m² + balkon 8,53 m²
Ilość pokoi – 1 z możliwością wydzielenia osobnego pokoju.
Piętro: 1 z 8
Stan: deweloperski
Forma sprzedaży: cesja umowy deweloperskiej
Czynsz – około 450 PLN

Oddanie: gotowe
Świetna lokalizacja:
Wyjątkowe położenie mieszkania, pozwala na bardzo łatwy i szybki dostęp, zarówno do centrum miasta, innych części Warszawy, Starówki, Stadionu Narodowego jak i na klimatyczne spacery wzdłuż wybrzeża Wisły. Dla aktywnych trasy rowerowe oraz mnóstwo miejsc do uprawiania sportów.
W odległości 400 metrów znajduje się stacja II linii Metra.

Ulica Okrzei w najbliższym czasie zostanie przebudowana i stanie się główną trasą łączącą prawą z lewą częścią Warszawy. Detale można znaleźć w internecie ""Ulica Okrzei w nowej odsłonie""

Atrakcje i usługi w okolicy:
• Inwestycja znajduje się w nowoczesnym i malowniczym Porcie Praskim
• Metro Dworzec Wileński – 400 m
• Park Praski
• Zoo
• Starówka
• Stadion Narodowy
• Bulwary Wiślane do których przechodzimy nowo wybudowaną kładką
• W najbliższej okolicy dostępna jest cała infrastruktura usługowo-handlowa za czele z licznymi restauracjami i barami.
Zapraszam do kontaktu.";Praga-Północ;;https://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-39-78-m-balkon-8-53-m-CID3-ID14QWKc.html
1 000 000 zł;Cena za m²: 16666.67 zł/m²;60;2;8;Wtórny;;Apartamentowiec;"OPIS
nie podpisuje umów z pośrednikami

Mieszkanie zlokalizowane jest na osiedlu Sansara przy ul. Górczewskiej 222 na Warszawskim Bemowie, bezpośrednio przy galerii handlowej oraz w odległości 600 metrów od stacji metro RATUSZ BEMOWO . Lokal znajduje się na 8 kondygnacji w 10 piętrowym apartamentowcu dzięki czemu mamy widok na wschód czyli na centrum Warszawy i mamy bardzo dobre doświetlenie salonu połączonego z kuchnią . W każdej klatce są 2 windy, które zjeżdżają do garażu podziemnego, gdzie jest miejsce postojowe – pierwsze przy wyjściu z windy .
Osiedle jest nowoczesne z 2010 roku z ochroną całodobową , monitoringiem .
Powierzchnia mieszkania: 59,35 m2
- Salon połączony z kuchnią pełne wyposażenie – ekspozycja wschodnia
- Sypialnia od północy
- Łazienka z wanną i zabudową wnękową na wymiar gdzie ukryto pralkę
- duża garderoba z zabudową na wymiar
- Hall z zabudową na wymiar
- Loggia od wschodu o powierzchni 7 m2
Dostawcy internetu i kablówki w budynku to: UPC, Vectra, Orange, Netia.

Wskaźnik rocznego zapotrzebowania na energię pierwotną EP 78,83 kWh(m2-rok) .

Wszelkie prawa zastrzeżone. Zdjęcia są moją własnością i nie wyrażam zgody na ich kopiowanie i wykorzystywanie. Nie wyrażam również zgody na kopiowanie opisu mieszkania, przetwarzanie i rozpowszechnianie materiałów mojego autorstwa, w całości lub w części, co stanowi naruszenie praw autorskich. Dz. U. 94 Nr 24 poz. 83, sprost.: Dz.U. 94 Nr 43 poz. 170.

Nie podpisuję umów z pośrednikami - można przyjść z klientem na prezentacje .";Bemowo;2025-03-13;https://www.olx.pl/d/oferta/bezposrednio-ul-gorczewska-2-pok-z-balkonem-i-garazem-przy-metrze-CID3-ID13nvUA.html
1 846 000 zł do negocjacji;Cena za m²: 20977.27 zł/m²;88;3;4;Wtórny;;Blok;"OPIS
Na sprzedaż oferuję wyjątkowe mieszkanie, które doskonale sprawdzi się dla osób ceniących przestronność oraz spokój.

Mieszkanie o powierzchni 88 m² (18 tys za metr kwadratowy) znajduje się na 4 piętrze w cichym, kameralnym budynku przy ul. Dzikiej z największym podwórkiem w okolicy Warszawy, a jednocześnie w doskonałej lokalizacji z łatwym dostępem do wszelkich udogodnień (centrum handlowy Arcadia, tramwaj, autobusy i metro nie cale 10 min pieszo).

Mieszkanie składa się z przestronnego salonu z przestrzenią dla jadalni, dwóch oddzielnych pokoi, oddzielnej kuchni, toalety oraz łazienki z jakuzzi.

Jasne wnętrze, wysokie sufity oraz duże okna sprawiają, że mieszkanie jest pełne naturalnego światła, co dodatkowo potęguje wrażenie przestronności. Umeblowanie w antycznym stylu są w cenie oferty. Ponieważ robią charakterystyczne wrażenie i są częścią tego apartamentu od lat.

Z salonu prowadzi wyjście na dużą loggie 12m2, która staje się idealnym miejscem do relaksu na świeżym powietrzu, gdzie można cieszyć się ciszą i spokojem okolicy lub uprawiać sport. Mieszkanie zostało zaprojektowane w sposób, który zapewnia komfort i prywatność, idealne dla osób szukających wytchnienia od codziennego zgiełku.

Cena mieszkania: 1 590 000 zł.

Zachęcam do kontaktu i umówienia się na prezentację, aby osobiście poczuć atmosferę tego wyjątkowego miejsca. Pozdrawiam serdecznie, Wiktoria";Śródmieście;2025-03-20;https://www.olx.pl/d/oferta/przestrzonne-mieszkanie-88m2-przy-arkadii-merto-dworzec-gdanski-CID3-ID14RzuB.html
